所在地,都道府県,市区町村,緯度,経度,名称,最寄り1,バス1,最寄りバス停1,徒歩1,最寄り2,バス2,最寄りバス停2,徒歩2,最寄り3,バス3,最寄りバス停3,徒歩3,建物の写真,海抜,浸水の可能性,地震時の揺れやすさ,液状化の可能性,土砂災害の可能性,避難所名,避難所距離,避難所座標,家賃,管理費,敷金,礼金,間取り,面積,間取り図
東京都荒川区東尾久８,東京都,荒川区,139.768585,35.751682,ウィズ熊野前,日暮里・舎人ライナー/熊野前駅,,,歩7分,都電荒川線/熊野前駅,,,歩7分,ＪＲ山手線/田端駅,,,歩27分,https://img01.suumo.com/front/gazo/fr/bukken/224/100378526224/100378526224_gw.jpg,1.7,3.0～5.0ｍ未満,やや揺れやすい,やや高い,なし,男女平等推進センター,382.33721666,139.768871 35.748244,11.5万円,6000円,11.5万円,-,2DK,50.99m2,https://img01.suumo.com/front/gazo/fr/bukken/224/100378526224/100378526224_co.jpg
東京都荒川区町屋４,東京都,荒川区,139.778122,35.747356,吉原コーポ,東京メトロ千代田線/町屋駅,,,歩9分,日暮里・舎人ライナー/熊野前駅,,,歩13分,京成本線/新三河島駅,,,歩21分,https://img01.suumo.com/front/gazo/fr/bukken/066/100379336066/100379336066_gw.jpg,1.8,3.0～5.0ｍ未満,揺れやすい,やや高い,なし,大門小学校,206.07312834,139.77711 35.74902,8.9万円,-,8.9万円,8.9万円,4DK,53.71m2,https://img01.suumo.com/front/gazo/fr/bukken/066/100379336066/100379336066_co.jpg
東京都荒川区南千住５,東京都,荒川区,139.795654,35.733616,Ｂｌａｎｃ　Ｆｉｏｒｅ,東京メトロ日比谷線/三ノ輪駅,,,歩5分,つくばエクスプレス/南千住駅,,,歩5分,都電荒川線/三ノ輪橋駅,,,歩6分,https://img01.suumo.com/front/gazo/fr/bukken/134/100356539134/100356539134_gw.jpg,1.3,3.0～5.0ｍ未満,中程度,やや高い,なし,第二瑞光小学校,102.35281018,139.794525 35.733556,10.3万円,4000円,-,-,1LDK,31.31m2,https://img01.suumo.com/front/gazo/fr/bukken/134/100356539134/100356539134_co.jpg
東京都荒川区西日暮里４,東京都,荒川区,139.763702,35.732731,ガンズハウス,ＪＲ山手線/西日暮里駅,,,歩8分,ＪＲ山手線/田端駅,,,歩6分,東京メトロ南北線/駒込駅,,,歩18分,https://img01.suumo.com/front/gazo/fr/bukken/518/100379398518/100379398518_gw.jpg,10.2,-,中程度,非常に低い,なし,学校法人開成学園,118.43496776,139.764947 35.73240096,12.2万円,3000円,12.2万円,-,1LDK,41.32m2,https://img01.suumo.com/front/gazo/fr/bukken/518/100379398518/100379398518_co.jpg
東京都荒川区東日暮里６,東京都,荒川区,139.77652,35.730938,ベルシードステアー東日暮里II,ＪＲ山手線/日暮里駅,,,歩8分,ＪＲ山手線/西日暮里駅,,,歩14分,ＪＲ常磐線/三河島駅,,,歩7分,https://img01.suumo.com/front/gazo/fr/bukken/482/100373590482/100373590482_gw.jpg,3.3,0.5～3.0ｍ未満,揺れやすい,やや高い,なし,・高潮時は3階以上に避難,236.87569459,139.7760076 35.73303162,11.9万円,15000円,-,-,1LDK,32.02m2,https://img01.suumo.com/front/gazo/fr/bukken/292/100375128292/100375128292_co.jpg
東京都荒川区東日暮里６,東京都,荒川区,139.77652,35.730938,ベルシードステアー東日暮里II,ＪＲ山手線/日暮里駅,,,歩8分,ＪＲ山手線/西日暮里駅,,,歩14分,ＪＲ常磐線/三河島駅,,,歩7分,https://img01.suumo.com/front/gazo/fr/bukken/482/100373590482/100373590482_gw.jpg,3.3,0.5～3.0ｍ未満,揺れやすい,やや高い,なし,・高潮時は3階以上に避難,236.87569459,139.7760076 35.73303162,12万円,15000円,-,-,1LDK,32.02m2,https://img01.suumo.com/front/gazo/fr/bukken/018/100378808018/100378808018_co.jpg
東京都荒川区東日暮里６,東京都,荒川区,139.77652,35.730938,ベルシードステアー東日暮里II,ＪＲ山手線/日暮里駅,,,歩8分,ＪＲ山手線/西日暮里駅,,,歩14分,ＪＲ常磐線/三河島駅,,,歩7分,https://img01.suumo.com/front/gazo/fr/bukken/482/100373590482/100373590482_gw.jpg,3.3,0.5～3.0ｍ未満,揺れやすい,やや高い,なし,・高潮時は3階以上に避難,236.87569459,139.7760076 35.73303162,12.3万円,15000円,-,-,1LDK,32.02m2,https://img01.suumo.com/front/gazo/fr/bukken/582/100378814582/100378814582_co.jpg
東京都荒川区東日暮里６,東京都,荒川区,139.77652,35.730938,ベルシードステアー東日暮里II,ＪＲ山手線/日暮里駅,,,歩8分,ＪＲ山手線/西日暮里駅,,,歩14分,ＪＲ常磐線/三河島駅,,,歩7分,https://img01.suumo.com/front/gazo/fr/bukken/482/100373590482/100373590482_gw.jpg,3.3,0.5～3.0ｍ未満,揺れやすい,やや高い,なし,・高潮時は3階以上に避難,236.87569459,139.7760076 35.73303162,12.4万円,15000円,-,-,1LDK,32.02m2,https://img01.suumo.com/front/gazo/fr/bukken/564/100378814564/100378814564_co.jpg
東京都荒川区東日暮里６,東京都,荒川区,139.77652,35.730938,ベルシードステアー東日暮里II,ＪＲ山手線/日暮里駅,,,歩8分,ＪＲ山手線/西日暮里駅,,,歩14分,ＪＲ常磐線/三河島駅,,,歩7分,https://img01.suumo.com/front/gazo/fr/bukken/482/100373590482/100373590482_gw.jpg,3.3,0.5～3.0ｍ未満,揺れやすい,やや高い,なし,・高潮時は3階以上に避難,236.87569459,139.7760076 35.73303162,12.4万円,15000円,-,-,1LDK,31.91m2,https://img01.suumo.com/front/gazo/fr/bukken/677/100374257677/100374257677_co.jpg
東京都荒川区東日暮里６,東京都,荒川区,139.77652,35.730938,ベルシードステアー東日暮里II,ＪＲ山手線/日暮里駅,,,歩8分,ＪＲ山手線/西日暮里駅,,,歩14分,ＪＲ常磐線/三河島駅,,,歩7分,https://img01.suumo.com/front/gazo/fr/bukken/482/100373590482/100373590482_gw.jpg,3.3,0.5～3.0ｍ未満,揺れやすい,やや高い,なし,・高潮時は3階以上に避難,236.87569459,139.7760076 35.73303162,12.45万円,15000円,-,-,1LDK,31.35m2,https://img01.suumo.com/front/gazo/fr/bukken/289/100375128289/100375128289_co.jpg
東京都荒川区東日暮里６,東京都,荒川区,139.77652,35.730938,ベルシードステアー東日暮里II,ＪＲ山手線/日暮里駅,,,歩8分,ＪＲ山手線/西日暮里駅,,,歩14分,ＪＲ常磐線/三河島駅,,,歩7分,https://img01.suumo.com/front/gazo/fr/bukken/482/100373590482/100373590482_gw.jpg,3.3,0.5～3.0ｍ未満,揺れやすい,やや高い,なし,・高潮時は3階以上に避難,236.87569459,139.7760076 35.73303162,12.5万円,15000円,-,-,1LDK,31.91m2,https://img01.suumo.com/front/gazo/fr/bukken/482/100373590482/100373590482_co.jpg
東京都荒川区東日暮里６,東京都,荒川区,139.77652,35.730938,ベルシードステアー東日暮里II,ＪＲ山手線/日暮里駅,,,歩8分,ＪＲ山手線/西日暮里駅,,,歩14分,ＪＲ常磐線/三河島駅,,,歩7分,https://img01.suumo.com/front/gazo/fr/bukken/482/100373590482/100373590482_gw.jpg,3.3,0.5～3.0ｍ未満,揺れやすい,やや高い,なし,・高潮時は3階以上に避難,236.87569459,139.7760076 35.73303162,12.5万円,15000円,-,-,1LDK,31.62m2,https://img01.suumo.com/front/gazo/fr/bukken/285/100375128285/100375128285_co.jpg
東京都荒川区東日暮里６,東京都,荒川区,139.77652,35.730938,ベルシードステアー東日暮里II,ＪＲ山手線/日暮里駅,,,歩8分,ＪＲ山手線/西日暮里駅,,,歩14分,ＪＲ常磐線/三河島駅,,,歩7分,https://img01.suumo.com/front/gazo/fr/bukken/482/100373590482/100373590482_gw.jpg,3.3,0.5～3.0ｍ未満,揺れやすい,やや高い,なし,・高潮時は3階以上に避難,236.87569459,139.7760076 35.73303162,12.55万円,15000円,-,-,1LDK,31.62m2,https://img01.suumo.com/front/gazo/fr/bukken/277/100375128277/100375128277_co.jpg
東京都荒川区東日暮里６,東京都,荒川区,139.77652,35.730938,ベルシードステアー東日暮里II,ＪＲ山手線/日暮里駅,,,歩8分,ＪＲ山手線/西日暮里駅,,,歩14分,ＪＲ常磐線/三河島駅,,,歩7分,https://img01.suumo.com/front/gazo/fr/bukken/482/100373590482/100373590482_gw.jpg,3.3,0.5～3.0ｍ未満,揺れやすい,やや高い,なし,・高潮時は3階以上に避難,236.87569459,139.7760076 35.73303162,12.55万円,15000円,-,-,1LDK,31.35m2,https://img01.suumo.com/front/gazo/fr/bukken/646/100379381646/100379381646_co.jpg
東京都荒川区東日暮里６,東京都,荒川区,139.77652,35.730938,ベルシードステアー東日暮里II,ＪＲ山手線/日暮里駅,,,歩8分,ＪＲ山手線/西日暮里駅,,,歩14分,ＪＲ常磐線/三河島駅,,,歩7分,https://img01.suumo.com/front/gazo/fr/bukken/482/100373590482/100373590482_gw.jpg,3.3,0.5～3.0ｍ未満,揺れやすい,やや高い,なし,・高潮時は3階以上に避難,236.87569459,139.7760076 35.73303162,12.6万円,15000円,-,-,1LDK,31.91m2,https://img01.suumo.com/front/gazo/fr/bukken/506/100374239506/100374239506_co.jpg
東京都荒川区東日暮里６,東京都,荒川区,139.77652,35.730938,ベルシードステアー東日暮里II,ＪＲ山手線/日暮里駅,,,歩8分,ＪＲ山手線/西日暮里駅,,,歩14分,ＪＲ常磐線/三河島駅,,,歩7分,https://img01.suumo.com/front/gazo/fr/bukken/482/100373590482/100373590482_gw.jpg,3.3,0.5～3.0ｍ未満,揺れやすい,やや高い,なし,・高潮時は3階以上に避難,236.87569459,139.7760076 35.73303162,12.6万円,15000円,-,-,1LDK,31.62m2,https://img01.suumo.com/front/gazo/fr/bukken/527/100374239527/100374239527_co.jpg
東京都荒川区東尾久６,東京都,荒川区,139.773956,35.746956,パラッツオ・イイノ,東京メトロ千代田線/町屋駅,,,歩8分,都電荒川線/東尾久三丁目駅,,,歩2分,京成本線/町屋駅,,,歩8分,https://img01.suumo.com/front/gazo/fr/bukken/047/100379085047/100379085047_gw.jpg,1.9,3.0～5.0ｍ未満,やや揺れやすい,やや高い,なし,東尾久本町通りふれあい館,339.94374947,139.7714096 35.74470262,9万円,8000円,9万円,9万円,2DK,37.53m2,https://img01.suumo.com/front/gazo/fr/bukken/047/100379085047/100379085047_co.jpg
